bin,avg_x,std_x,avg_y,std_y,sum_networth,sum_kills,sum_deaths,n_roshans,n_pushes,n_wards,hero_density,sum_networth_radiant,sum_networth_dire,net_worth_diff,abs_net_worth_diff,core_r_x,core_r_y,core_r_networth,core_r_kills,core_r_deaths,mid_r_x,mid_r_y,mid_r_networth,mid_r_kills,mid_r_deaths,hard_r_x,hard_r_y,hard_r_networth,hard_r_kills,hard_r_deaths,h_sup_r_x,h_sup_r_y,h_sup_r_networth,h_sup_r_kills,h_sup_r_deaths,sup_r_x,sup_r_y,sup_r_networth,sup_r_kills,sup_r_deaths,core_d_x,core_d_y,core_d_networth,core_d_kills,core_d_deaths,mid_d_x,mid_d_y,mid_d_networth,mid_d_kills,mid_d_deaths,hard_d_x,hard_d_y,hard_d_networth,hard_d_kills,hard_d_deaths,h_sup_d_x,h_sup_d_y,h_sup_d_networth,h_sup_d_kills,h_sup_d_deaths,sup_d_x,sup_d_y,sup_d_networth,sup_d_kills,sup_d_deaths,label,win
20,136.1174804,42.96203065734127,128.3631844,28.20406912505448,33648,12,13,0,1,26,8,17722,15926,1796,1796,175.7854,99.305664,4136.0,1.0,1.0,149.9419,119.66162,4646.0,2.0,0.0,95.510254,132.69409,5104.0,1.0,2.0,172.60034,102.02734,2080.0,1.0,1.0,184.74585,93.67847,1756.0,2.0,1.0,87.82788,187.23975,5282.0,1.0,1.0,126.16748,128.52808,3113.0,0.0,3.0,187.84863,132.12305,3600.0,0.0,1.0,100.62744,131.1023,2073.0,2.0,1.0,80.11963,157.27148,1858.0,2.0,2.0,farm,1
21,118.724169,37.46469165658942,131.2326175,16.71362609806662,35799,14,15,0,1,26,8,19072,16727,2345,2345,175.92041,103.36597,4508.0,1.0,1.0,100.44287,128.02832,5117.0,4.0,0.0,85.41138,138.6001,5334.0,1.0,2.0,135.17407,115.97046,2162.0,1.0,1.0,92.78491,134.97485,1951.0,2.0,1.0,106.49536,164.36816,5595.0,1.0,1.0,129.14673,126.88794,3356.0,0.0,3.0,186.71191,120.102295,3720.0,0.0,1.0,96.3186,143.95874,2053.0,2.0,2.0,78.83545,136.06934,2003.0,2.0,3.0,team_fight,1
22,133.1227774,36.57929779262377,131.0506104,29.09135326508582,38164,14,15,0,1,27,8,20462,17702,2760,2760,174.77563,87.89307,4614.0,1.0,1.0,131.47949,98.267334,5451.0,4.0,0.0,92.36792,130.5918,5960.0,1.0,2.0,127.986084,126.4353,2471.0,1.0,1.0,130.90454,108.36597,1966.0,2.0,1.0,84.2561,169.9978,5861.0,1.0,1.0,155.56714,136.30078,3603.0,0.0,3.0,186.88428,120.79175,4086.0,0.0,1.0,87.13428,171.42407,2119.0,2.0,2.0,159.87231,160.43823,2033.0,2.0,3.0,farm,1
23,133.6742186,36.46450482713849,135.55864,27.32912551656728,40268,14,15,0,1,27,9,21242,19026,2216,2216,175.38086,110.58154,4910.0,1.0,1.0,138.68799,110.79443,5504.0,4.0,0.0,90.01318,165.6477,6305.0,1.0,2.0,162.02979,116.48193,2562.0,1.0,1.0,145.48486,104.95288,1961.0,2.0,1.0,83.891846,174.98364,6327.0,1.0,1.0,130.59229,136.7915,4003.0,0.0,3.0,188.20605,120.6687,4354.0,0.0,1.0,90.21167,173.95874,2226.0,2.0,2.0,132.24365,140.72534,2116.0,2.0,3.0,farm,1
24,81.6483394,5.560871642400462,152.08054199999998,5.216862713436115,42988,15,16,0,2,28,10,22317,20671,1646,1646,85.14795,150.50903,5438.0,1.0,1.0,87.240234,153.54956,5641.0,4.0,0.0,74.775635,151.12476,6579.0,1.0,3.0,82.14014,147.7207,2611.0,1.0,1.0,87.96826,155.95801,2048.0,2.0,1.0,82.58032,154.01807,6668.0,1.0,1.0,79.6582,160.96265,4467.0,1.0,3.0,80.87036,154.24316,4768.0,0.0,1.0,70.43335,141.23242,2448.0,2.0,2.0,85.668945,151.48706,2320.0,2.0,3.0,gang,1
25,92.6977784,17.115328047249214,155.03391100000002,12.532372612892008,46019,19,20,0,2,28,10,25048,20971,4077,4077,85.467285,172.96777,6149.0,2.0,1.0,114.99634,162.66211,6501.0,6.0,0.0,74.775635,151.12476,6870.0,1.0,3.0,102.59741,126.9646,3066.0,2.0,1.0,84.729004,164.62549,2462.0,2.0,1.0,83.96973,154.95508,6741.0,1.0,2.0,127.07861,162.47412,4650.0,1.0,3.0,84.1333,155.33691,4755.0,0.0,2.0,76.18994,153.10425,2493.0,2.0,3.0,93.04053,146.12402,2332.0,2.0,4.0,team_fight,1
26,121.449243,40.58251753131501,152.755249,33.71746797865708,48067,19,20,0,3,28,9,26528,21539,4989,4989,85.89673,174.17285,6748.0,2.0,1.0,79.10718,171.12915,6873.0,6.0,0.0,71.27954,180.64917,7007.0,1.0,3.0,129.99585,100.24951,3287.0,2.0,1.0,71.4563,180.8628,2613.0,2.0,1.0,175.8562,93.25293,6979.0,1.0,2.0,135.59326,139.05347,4864.0,1.0,3.0,146.36133,189.19775,4777.0,0.0,2.0,160.86938,153.5498,2540.0,2.0,3.0,158.07666,145.43506,2379.0,2.0,4.0,push,1
27,151.4440436,44.43452856915798,127.3717288,20.43451090031637,50004,19,20,0,3,28,8,27445,22559,4886,4886,173.76611,99.74536,7245.0,2.0,1.0,191.68726,118.104004,6978.0,6.0,0.0,190.14893,132.18604,7112.0,1.0,3.0,182.36426,110.38672,3392.0,2.0,1.0,194.52661,120.041504,2718.0,2.0,1.0,157.88501,133.09546,7223.0,1.0,2.0,118.107666,135.03296,5242.0,1.0,3.0,104.00488,176.00366,5081.0,0.0,2.0,63.26367,130.53125,2587.0,2.0,3.0,138.68604,118.59033,2426.0,2.0,4.0,farm,1
28,148.67663620000002,46.29026208049549,110.447168,14.810853272178331,51962,21,22,0,3,29,8,28235,23727,4508,4508,77.901855,145.5105,7362.0,2.0,1.0,110.89453,118.04785,7276.0,7.0,0.0,165.16748,94.09375,7412.0,1.0,3.0,178.72852,100.10718,3487.0,2.0,1.0,175.15479,116.95239,2698.0,2.0,2.0,179.68115,101.46997,7695.0,2.0,2.0,178.19653,100.90039,5502.0,1.0,3.0,178.02466,106.95044,5385.0,0.0,2.0,63.189697,116.78906,2570.0,2.0,4.0,179.82715,103.65015,2575.0,2.0,4.0,gang,1
29,139.02024,24.600167946121942,131.4263181,38.8453983153574,54427,22,23,0,3,31,8,29410,25017,4393,4393,98.01953,171.48755,7921.0,2.0,1.0,111.839355,155.74854,7702.0,7.0,0.0,165.94629,72.725586,7595.0,1.0,3.0,165.43335,92.26489,3447.0,2.0,2.0,118.217285,132.27173,2745.0,2.0,2.0,145.21045,136.8977,7949.0,2.0,2.0,143.84619,115.755615,5866.0,1.0,3.0,130.94678,191.51172,5654.0,0.0,2.0,139.40747,157.22021,2632.0,2.0,4.0,171.3357,88.37964,2916.0,3.0,4.0,team_fight,1
